Date,Open,High,Low,Close,Adj Close,Volume
2015-02-06,69.4,70.25,68.5,69.78,65.62,301248
2015-02-09,69.75,71.15,69.12,70.3,66.12,524554
2015-02-10,71.43,71.43,67.15,68.68,64.59,444400
2015-02-11,69.5,70.28,68.12,69.88,65.72,295844
2015-02-12,70.25,70.5,69.12,70.4,66.21,188346
2015-02-13,71.0,71.0,69.5,70.12,65.95,341372
2015-02-16,70.2,70.5,69.1,69.55,65.41,279812
2015-02-18,69.75,69.85,68.15,68.4,64.33,309474
2015-02-19,68.75,69.25,67.57,68.47,64.4,203140
2015-02-20,69.5,70.12,68.12,69.4,65.27,343546
2015-02-23,70.68,72.6,70.68,71.32,67.08,961580
2015-02-24,71.55,71.9,70.5,70.72,66.52,263300
2015-02-25,71.28,71.62,69.75,70.03,65.86,235176
2015-02-26,70.68,70.68,69.0,69.4,65.27,434774
2015-02-27,69.7,71.5,69.3,71.1,66.87,440222
2015-03-02,72.15,75.78,71.97,75.1,70.63,1064984
2015-03-03,75.25,75.97,74.25,75.38,70.89,463926
2015-03-04,76.55,77.1,72.38,73.07,68.73,704008
2015-03-05,74.0,74.0,72.38,73.5,69.13,197416
2015-03-09,72.5,72.6,71.0,71.38,67.13,190092
2015-03-10,72.0,72.0,68.5,69.4,65.27,312128
2015-03-11,69.95,69.95,68.55,69.12,65.01,186518
2015-03-12,70.0,70.28,69.38,69.78,65.62,191484
2015-03-13,70.5,70.5,67.55,67.93,63.88,341452
2015-03-16,68.0,68.65,67.85,68.32,64.26,223116
2015-03-17,69.25,70.53,68.75,70.25,66.07,198242
2015-03-18,71.0,71.0,69.5,70.4,66.21,176878
2015-03-19,71.0,71.22,69.1,69.68,65.53,207790
2015-03-20,69.32,70.15,68.5,68.82,64.73,201752
2015-03-23,69.55,69.55,67.25,67.65,63.63,161720
2015-03-24,68.45,68.45,65.85,66.22,62.29,227810
2015-03-25,67.1,68.45,66.5,68.15,64.1,187564
2015-03-26,68.5,68.5,66.25,66.65,62.69,137388
2015-03-27,67.6,67.6,63.67,65.57,61.67,544092
2015-03-30,66.5,66.93,65.1,65.95,62.03,252176
2015-03-31,66.5,67.03,64.9,66.0,62.07,270128
2015-04-01,67.22,67.22,65.43,66.7,62.73,218164
2015-04-06,67.0,67.0,64.62,65.22,61.35,303044
2015-04-07,66.0,66.43,64.6,65.35,61.46,291762
2015-04-08,65.5,65.55,64.15,65.25,61.37,305716
2015-04-09,65.18,66.2,64.68,65.28,61.39,531248
2015-04-10,65.53,65.55,64.18,64.45,60.62,326000
2015-04-13,64.75,65.15,64.4,64.62,60.78,303800
2015-04-15,65.55,67.43,64.93,66.18,62.24,472434
2015-04-16,66.9,66.9,65.05,65.5,61.6,223836
2015-04-17,66.5,66.6,65.18,65.8,61.89,218394
2015-04-20,65.8,66.12,63.42,63.97,60.17,236296
2015-04-21,64.0,64.45,63.53,63.88,60.08,265674
2015-04-22,64.32,64.45,62.78,63.9,60.1,311274
2015-04-23,65.0,65.0,64.1,64.53,60.69,198184
2015-04-24,64.75,64.75,62.83,63.3,59.53,249070
2015-04-27,64.3,64.3,60.8,61.33,57.68,465416
2015-04-28,60.0,64.25,60.0,63.65,59.86,718158
2015-04-29,64.25,65.95,62.95,65.07,61.2,924424
2015-04-30,65.5,66.4,65.15,65.65,61.75,486910
2015-05-04,66.5,68.6,66.28,68.22,64.17,284264
2015-05-05,67.88,68.35,66.57,67.4,63.39,199022
2015-05-06,67.25,67.8,63.65,64.15,60.33,298234
2015-05-07,64.5,64.53,62.25,62.85,59.11,291864
2015-05-08,64.25,66.5,62.92,65.62,61.72,384494
2015-05-11,67.68,68.45,66.32,67.5,63.48,943016
2015-05-12,68.0,68.95,64.9,65.28,61.39,564854
2015-05-13,65.95,66.6,65.22,66.0,62.07,443362
2015-05-14,66.38,69.25,65.2,68.38,64.31,430728
2015-05-15,69.0,69.78,68.05,69.38,65.25,411234
2015-05-18,70.95,71.2,68.1,68.4,64.33,732396
2015-05-19,68.95,70.62,68.47,69.18,65.06,796422
2015-05-20,69.65,70.97,69.5,70.5,66.31,355486
2015-05-21,70.55,71.93,69.65,71.28,67.04,844894
2015-05-22,70.95,71.75,70.0,70.25,66.07,1323104
2015-05-25,71.0,71.25,69.2,70.53,66.33,447832
2015-05-26,70.43,71.5,70.2,70.65,66.45,543106
2015-05-27,70.05,72.82,70.0,72.12,67.83,346038
2015-05-28,71.5,72.57,71.05,71.5,69.36,422526
2015-05-29,71.5,71.97,71.0,71.5,69.36,265198
2015-06-01,71.43,71.97,71.03,71.4,69.27,192348
2015-06-02,71.25,71.5,69.07,69.5,67.42,286804
2015-06-03,69.97,69.97,67.97,68.95,66.89,156944
2015-06-04,70.0,70.0,67.45,68.05,66.02,198678
2015-06-05,67.7,68.12,67.2,67.62,65.6,197860
2015-06-08,68.45,68.55,65.88,66.5,64.51,103972
2015-06-09,67.45,68.2,66.1,67.88,65.85,147792
2015-06-10,68.5,68.55,67.28,68.07,66.04,258908
2015-06-11,68.9,68.9,65.78,66.07,64.1,184208
2015-06-12,66.0,66.6,65.2,65.9,63.93,188582
2015-06-15,65.9,67.4,65.62,66.32,64.34,138788
2015-06-16,66.75,68.03,65.5,67.53,65.51,254494
2015-06-17,68.45,70.93,67.45,70.45,68.34,415866
2015-06-18,70.97,71.03,69.3,70.28,68.17,199198
2015-06-19,71.0,71.0,70.2,70.72,68.61,221956
2015-06-22,71.5,72.57,70.95,71.72,69.58,308730
2015-06-23,71.97,72.18,69.47,71.12,69.0,405272
2015-06-24,71.12,72.03,70.3,70.68,68.56,611978
2015-06-25,70.72,75.8,70.72,74.7,72.47,1622080
2015-06-26,75.0,75.4,73.35,73.72,71.52,526876
2015-06-29,73.0,73.9,70.5,73.68,71.47,468470
2015-06-30,74.5,74.88,72.35,73.9,71.69,535326
2015-07-01,74.07,75.5,74.07,75.0,72.76,1038684
2015-07-02,76.0,77.45,75.2,76.9,74.6,704126
2015-07-03,77.82,79.72,76.75,77.62,75.3,2772604
2015-07-06,77.45,78.22,75.7,77.97,75.64,688716
2015-07-07,78.25,78.78,76.3,76.82,74.53,873082
2015-07-08,75.95,77.4,75.0,75.65,73.39,454865
2015-07-09,75.25,76.7,74.3,76.15,73.87,1003904
2015-07-10,77.0,77.0,75.5,76.05,73.78,402455
2015-07-13,77.1,78.75,76.3,78.4,76.06,521830
2015-07-14,78.85,79.4,77.45,77.95,75.62,382036
2015-07-15,78.85,78.85,76.25,77.55,75.23,861011
2015-07-16,77.65,77.65,76.35,76.7,74.41,890146
2015-07-17,77.4,77.4,75.5,75.85,73.58,344754
2015-07-20,71.0,71.5,68.5,70.75,68.64,1795799
2015-07-21,71.0,71.55,69.3,69.8,67.71,367629
2015-07-22,70.6,70.9,69.5,70.5,68.39,735334
2015-07-23,71.2,71.2,69.75,70.0,67.91,252907
2015-07-24,70.0,70.5,69.0,69.85,67.76,593170
2015-07-27,70.0,70.0,68.2,68.45,66.4,205631
2015-07-28,68.75,69.1,67.85,68.7,66.65,201263
2015-07-29,68.7,69.3,68.1,68.5,66.45,158748
2015-07-30,69.0,69.25,66.95,68.45,66.4,241662
2015-07-31,68.45,69.25,67.55,67.85,65.82,360704
2015-08-03,68.0,68.55,67.3,67.55,65.53,253371
2015-08-04,67.6,68.2,67.0,67.55,65.53,266454
2015-08-05,68.45,69.7,67.25,68.45,66.4,427650
